,,,,,,
,,,,,,
,,,,,,
"Source: USCIS, data as of October 25, 2017. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary is based on data reported by the petitioner in the petition and may include part-time employment. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. The letter H replaces the value in the total column where one could deduce the value of D. Employers without tax identification numbers in our system were excluded. ",,,,,,
Employer Tax Number (last 4 digits), Employer Name ,Total Number of Approved Petitions, Average Salary ($) ,Beneficiaries' Degree/Diploma,,
2110,APPLE INC, D ," 135,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5238,HARRIS & ASSOCIATES INC, D ," 90,636 ",Master's, D ,
1614,LSA ASSOCIATES INC, D ," 62,650 ",Master's, D ,
0692,PALO ALTO UNIV, D ," 81,573 ",Doctorate, D ,
6099,FOX HEAD INC, D ," 118,495 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7261,VALLEY HEALTH TEAM INC, D ," 225,000 ",Professional Degree, D ,
7239,SPRIG ELECTRIC CO, D ," 77,220 ",Bachelor's, D ,
0447,AMPLA HEALTH, D ," 185,000 ",Professional Degree, D ,
9546,SYSERCO INC, D ," 97,250 ",Bachelor's, D ,
7438,CLOS DU VAL WINE CO, D ," 70,000 ",Bachelor's, D ,
1374,THE GOULD MED GRP INC, D ," 240,500 ",Professional Degree, D ,
9911,METROPOLITAN TRANSPORTATION CO, D ," 76,978 ",Master's, D ,
1481,EXAR CORPORATION, D ," 103,955 ",Master's, D ,
3964,SB ARCHITECTS, D ," 63,500 ",Master's, D ,
7026,GORDON REES SCULLY MANSUKHANI, D ," 89,426 ",Master's, D ,
 , ,   ,   ,Professional Degree, D ,
7868,SILICONIX INC DBA VISHAY SILIC, D ," 122,500 ",Master's, D ,
5814,LAKESHORE EQUIPMENT CO D/B/A L, D ," 147,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7451,RUDOLPH & SLETTEN INC, D ," 113,000 ",Bachelor's, D ,
9330,SWINERTON BUILDERS, D ," 102,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7042,LINCOLN UNIV, D ," 57,502 ",Master's, D ,
7296,DRISCOLL S INC, D ," 101,500 ",Master's, D ,
5344,CIVIL SERVICE EMPLOYEES INS CO, D ," 124,203 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0824,SAN FRANCISCO VETERANS AFFAIRS, D ," 200,368 ",Professional Degree, D ,
6621,SUTTER HLTH SACRAMENTO SIERRA, D ," 119,230 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
6599,SAINT MACY S COLLEGE OF CA, D ," 107,500 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
6581,PALO ALTO MEDICAL FOUNDATION, D ," 96,472 ",Bachelor's, D ,
6525,DOMINICAN UNIV OF CA, D ," 102,465 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
6485,CA COLLEGE OF THE ARTS, D ," 62,890 ",Master's, D ,
4442,MICROSOFT CORPORATION, D ," 137,733 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7973,COST PLUS INC, D ," 124,540 ",Master's, D ,
4700,LODI UNIFIED SCHOOL DISTRICT, D ," 57,408 ",Master's, D ,
6064,NORTHERN CA CONFERENCE OF SEVE, D ," 49,558 ",Master's, D ,
9175,NEWPORT CORPORATION, D ," 141,254 ",Master's, D ,
2780,CHINESE HOSP ASSN, D ," 84,604 ",Master's, D ,
2309,MULTNOMAH COUNTY OREGON, D ," 106,546 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1767,OR HEALTH AUTHORITY OR STATE H, D ," 213,982 ",Professional Degree, D ,
9530,EOS OF NORTH AMERICA INC, D ," 77,348 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
8366,LEASE CRUTCHER LEWIS LLC, D ," 95,760 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6007,EXTERRO INC, D ," 80,051 ",Master's, D ,
8540,GALOIS INC, D ," 122,485 ",Doctorate, D ,
0203,THE LINUS GROUP, D ," 79,500 ",Master's, D ,
8192,REHAB SPECIALISTS I LLC DBA CO, D ," 74,828 ",Bachelor's, D ,
2113,MERRYMAN BARNES ARCHITECTS INC, D ," 46,800 ",Master's, D ,
9500,GLS LANDSCAPE ARCHITECTURE, D ," 75,000 ",Master's, D ,
8834,TOKAI ELECTRONICS AMERICA LTD, D ," 103,563 ",Bachelor's, D ,
5400,SBM SITE SERVICES LLC, D ," 101,250 ",Master's, D ,
1836,UK INTERNATIONAL SOCCER CAMPS, D ," 54,750 ",Bachelor's, D ,
9423,ESCO CORP, D ," 99,066 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9187,SPECTRUM PHARMACEUTICALS INC, D ," 147,500 ",Master's, D ,
5214,LATTICE SEMICONDUCTOR CORP, D ," 132,500 ",Master's, D ,
8858,SSI SHREDDING SYSTEMS INC, D ," 78,250 ",Master's, D ,
4365,D H USA CORPORATION, D ," 84,563 ",Bachelor's, D ,
7431,INTERPATH LAB, D ," 50,877 ",Bachelor's, D ,
5011,LOWER UMPQUA HOSP DIST, D ," 47,820 ",Bachelor's, D ,
1940,NATIONAL UNIV OF NATURAL MEDIC, D ," 86,834 ",Doctorate, D ,
5580,GOOD SHEPHERD HEALTH CARE SYST, D ," 230,000 ",Professional Degree, D ,
1563,CONCORDIA UNIV, D ," 58,974 ",Master's, D ,
6858,LEWIS & CLARK COLLEGE, D ," 58,280 ",Doctorate, D ,
1741,LAWRENCE BERKELEY NATIONAL LAB, D ," 141,224 ",Doctorate, D ,
2942,GE MEDICAL SYSTEMS ULTRASOUND, D ," 99,000 ",Doctorate, D ,
1517,SAI INVESTMENTS LLC, D ," 54,000 ",Bachelor's, D ,
3182,ALTMAN ROGERS & CO, D ," 60,000 ",Master's, D ,
5700,WRANGELL MEDICAL CENTER, D ," 101,367 ",Bachelor's, D ,
1709,CLALLAM COUNTY PUBLIC HOSPITAL, D ," 284,774 ",Professional Degree, D ,
1540,VANCOUVER SCHOOL DISTRICT 37, D ," 58,557 ",Master's, D ,
1327,KING COUNTY, D ," 48,624 ",Master's, D ,
1071,STATE OF WA DEPT OF LICENSING, D ," 74,496 ",Master's, D ,
7143,CONNECTICUT INST FOR COMMUNITI, D ," 195,000 ",Professional Degree, D ,
0737,COMMON APPLICATION INC, D ," 130,333 ",Master's, D ,
7195,INFIELD DIGITAL LLC, D ," 88,054 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0160,ACCEL BI CORP, D ," 86,750 ",Master's, D ,
3120,SWEDISH HEALTH SERVICES D/B/A, D ," 77,500 ",Professional Degree, D ,
5068,FOX SPORTS INTERACTIVE MEDIA L, D ," 131,263 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5151,SCHNEIDER ELECTRIC SOLAR INVER, D ," 90,266 ",Master's, D ,
9489,RED, D ," 160,000 ",Bachelor's, D ,
1487,EMSER TILE LLC, D ," 82,000 ",Master's, D ,
8863,TWILIGHTLIVING COM INC, D ," 92,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7205,KINETICOM INC, D ," 106,600 ",Master's, D ,
6546,AMAZON CORPORATE LLC, D ," 104,900 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3165,BLUE NILE INC, D ," 85,750 ",Master's, D ,
9155,SPARQTRON CORPORATION, D ," 59,272 ",Master's, D ,
8941,ENTOMO INC, D ," 106,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7672,GREAT PLACE TO WORK INSTITUTE, D ," 71,238 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6058,WILDTANGENT INC, D ," 89,525 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9172,ONVIA INC, D ," 170,000 ",Bachelor's, D ,
5971,GABLE SAIGET PC DBA GENTLA DEN, D ," 115,000 ",Professional Degree, D ,
1331,GREATER CHINA INDUSTRIES INC, D ," 118,872 ",Master's, D ,
9869,MOLECULAR EPIDEMIOLOGY INC, D ," 56,050 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
5015,WAFERTECH LLC, D ," 91,805 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4074,CLASSMATES INC, D ," 103,750 ",Master's, D ,
5963,BLUE COAT SYSTEMS INC, D ," 125,500 ",Master's, D ,
7819,NAVITAS LIFE SCIENCE INC, D ," 94,490 ",Master's, D ,
7514,SHARP LABORATORIES OF AMERICA, D ," 106,871 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
3146,WB GAMES INC, D ," 135,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0507,PEETS OPERATING COMPANY INC, D ," 116,722 ",Master's, D ,
0880,BSQUARE CORPORATION, D ," 107,400 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0860,BROOKS SPORTS INC, D ," 125,500 ",Bachelor's, D ,
1877,INTERNATIONAL SOS ASSISTANCE I, D ," 82,428 ",Master's, D ,
2172,MULTICARE HEALTH SYSTEM, D ," 327,002 ",Professional Degree, D ,
5550,CORE MARK INTERNATIONAL, D ," 102,502 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6274,SUNNYSIDE COMMUNITY HOSP ASSN, D ," 139,960 ",Bachelor's, D ,
 , ,   ,   ,Professional Degree, D ,
5815,DOWNTOWN EMERGENCY SERVICE CEN, D ," 34,674 ",Master's, D ,
5170,COMMUNITY HEALTH CTR OF SNOHOM, D ," 185,694 ",Professional Degree, D ,
2924,SKILLINGS CONNOLLY INC, D ," 81,640 ",Bachelor's, D ,
4183,OLSON KUNDIG INC, D ," 64,033 ",Master's, D ,
1164,JAMCO AMERICA INC, D ," 110,906 ",Master's, D ,
1579,UMBRA CUSCINETTI INC, D ," 69,032 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3222,REISCHLING PRESS INC, D ," 108,098 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9210,MAHLUM ARCHITECTS, D ," 58,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4594,INTERMEC TECHNOLOGIES CORPORAT, D ," 116,723 ",Master's, D ,
0229,OKANOGAN COUNTY PUBLIC HOSP DI, D ," 230,000 ",Professional Degree, D ,
5030,KENNEWICK PUBLIC HOSPITAL DIST, D ," 370,000 ",Professional Degree, D ,
7740,WHITMAN COLLEGE, D ," 59,550 ",Doctorate, D ,
5546,HARRISON MED CTR, D ," 283,466 ",Professional Degree, D ,
5006,SEATTLE UNIVERSITY, D ," 56,540 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
4983,RYTHER, D ," 35,000 ",Master's, D ,
7104,LAW OFFICES OF GARY S PARK PC, D ," 65,820 ",Professional Degree, D ,
3188,THE ALLEN INST FOR ARTIFICIAL, D ," 160,425 ",Doctorate, D ,
1153,UNIVERSAL DEBIT AND CREDIT LLC, D ," 102,500 ",Master's, D ,
7436,AXXIOME USA LLC, D ," 101,468 ",Bachelor's, D ,
7927,REALTYSHARES INC, D ," 172,500 ",Bachelor's, D ,
6796,TRUSTLOOK INC, D ," 111,075 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
9318,PANACEA PREP CHARTER SCHOOL IN, D ," 32,760 ",Bachelor's, D ,
8119,UNIREGISTRY INC, D ," 140,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5177,ANALYTICAL WIZARDS LLC, D ," 90,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5719,NEOCIS INC, D ," 95,000 ",Master's, D ,
 , ,   ,   ,Professional Degree, D ,
8774,MOBICA US INC, D ," 100,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8064,CERTIFY GLOBAL INC, D ," 137,500 ",Master's, D ,
5967,TIGER PACIFIC CAPITAL LP, D ," 130,000 ",Bachelor's, D ,
7936,VINCE LLC, D ," 194,941 ",Bachelor's, D ,
 , ,   ,   ,Professional Degree, D ,
7545,ATC DRIVETRAIN LLC, D ," 68,116 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7586,ELO TOUCH SOLUTIONS INC, D ," 88,500 ",Master's, D ,
6647,NR ENTERPRISES INC, D ," 57,065 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4009,PLANET PHARMA LLC, D ," 111,987 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
7453,EMVIRTA TECHNOLOGIES LLC, D ," 68,500 ",Master's, D ,
5456,BETTERMENT HOLDINGS INC, D ," 171,500 ",Master's, D ,
3855,TCL RESEARCH AMERICA INC, D ," 107,750 ",Master's, D ,
1955,SEGMENT IO INC, D ," 147,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3746,INVENTURE CAPITAL CORP, D ," 92,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7615,SFM LLC, D ," 93,500 ",Master's, D ,
5667,GTCR LLC, D ," 137,500 ",Bachelor's, D ,
2831,BANNER MEDICAL GROUP COLORADO, D ," 108,720 ",Professional Degree, D ,
4293,FAIR HEALTH INC, D ," 87,900 ",Master's, D ,
2223,BITTITAN INC, D ," 100,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1836,AMAZON COM INDC LLC, D ," 126,300 ",Master's, D ,
5316,SOFTTRENDS LLC, D ," 94,500 ",Bachelor's, D ,
3846,POSSIBLE WORLDWIDE LLC, D ," 72,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6749,SAM L GRESHAM PC, D ," 56,056 ",Bachelor's, D ,
8529,VERIFY HOLDINGS LLC, D ," 148,000 ",Master's, D ,
6199,DNV INC, D ," 66,903 ",Bachelor's, D ,
7077,OUTSOURCED AD OPS LLC, D ," 115,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2108,CALTHORPE ASSO, D ," 68,211 ",Master's, D ,
5772,DELOITTE TAX LLP, D ," 70,572 ",Bachelor's, D ,
0757,BMM NORTH AMERICA, D ," 69,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2430,FUSIONSTORM, D ," 108,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6979,INST FOR MOLECULAR MEDICINE, D ," 35,500 ",Doctorate, D ,
3450,SPAR MARKETING FORCE INC, D ," 80,094 ",Master's, D ,
8853,ORMAT NEVADA INC, D ," 68,700 ",Associate Degree, D ,
 , ,   ,   ,Master's, D ,
4418,SIERRA PACIFIC POWER CO DBA NV, D ," 81,741 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
0531,WASHINGTON COUNTY SCH DISTRICT, D ," 32,361 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0515,BOARD OF EDUCATION SALT LAKE C, D ," 71,763 ",Master's, D ,
5432,M2E LLC, D ," 27,834 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0263,CHARMING CHARLIE LLC, D ," 112,850 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0358,HUNTSMAN INTERNATIONAL LLC, D ," 99,563 ",Doctorate, D ,
 , ,   ,   ,Professional Degree, D ,
0181,KOLOB CANYONS AIR SERVICES LLC, D ," 53,839 ",Bachelor's, D ,
9958,FRANKLY MEDIA LLC, D ," 100,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2021,TPUSA INC, D ," 72,053 ",Bachelor's, D ,
0306,USANA HEALTH SCIENCES INC, D ," 72,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7597,UBS BANK USA, D ," 162,500 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
5378,POWIN CORPORATION, D ," 69,427 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9820,SELECTHEALTH INC, D ," 109,013 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7982,NATURE S SUNSHINE PRODUCTS INC, D ," 120,025 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0164,HOJ ENGINEERING & SALES CO INC, D ," 60,809 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6435,UINTAH BASIN MED CTR, D ," 50,964 ",Bachelor's, D ,
5565,NICHOLAS & COMPANY INC, D ," 125,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8260,PUBLICIS HAWKEYE INC, D ," 104,500 ",Master's, D ,
7596,YUMA REGIONAL MED CTR, D ," 69,422 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5162,PARADISE VALLEY UNIFIED SCH DI, D ," 45,294 ",Master's, D ,
0488,PEORIA UNIFIED SCHOOL DISTRICT, D ," 56,768 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0478,PHOENIX ELEMENTARY DISTRICT, D ," 33,610 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
2180,ENTRATA INC, D ," 80,434 ",Bachelor's, D ,
5045,EDF TRADING NORTH AMERICA LLC, D ," 115,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6004,EXEGY INCORPORATED, D ," 102,000 ",Master's, D ,
5088,RD ARCHITECTURE PLLC DBA 3RD S, D ," 58,000 ",Bachelor's, D ,
4925,INDUSTRIAL EVOLUTION INC, D ," 135,000 ",Bachelor's, D ,
6218,PING INC, D ," 58,114 ",Bachelor's, D ,
9727,MOMDOC LLC, D ," 229,500 ",Doctorate, D ,
 , ,   ,   ,Professional Degree, D ,
1876,PHOENIX MEDICAL GROUP PC, D ," 200,000 ",Professional Degree, D ,
9295,NANOSYN INC, D ," 72,255 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
0108,LOGAN SIMPSON DESIGN INC, D ," 50,960 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8056,ASSETMARK FINANCIAL INC, D ," 126,100 ",Bachelor's, D ,
6110,ARIZONA GRAND MEDICAL CENTER P, D ," 230,000 ",Professional Degree, D ,
9572,OPENLANE INC, D ," 104,494 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9413,AUTOMATED SYSTEMS AMERICA INC, D ," 82,500 ",Bachelor's, D ,
7074,DRIVETIME SALES & FINANCE CO L, D ," 91,750 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3303,PINON UNIFIED SCH DIST 4, D ," 35,000 ",Bachelor's, D ,
5637,PEGASUS SOLUTIONS COMPANIES, D ," 98,629 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8223,SUNQUEST INFO SYSTEMS INC, D ," 72,000 ",Master's, D ,
7821,ADELANTE HEALTHCARE INC, D ," 108,950 ",Master's, D ,
 , ,   ,   ,Professional Degree, D ,
8286,HESS ROUNTREE INC, D ," 27,053 ",Master's, D ,
7139,LHOIST NA OF ARIZONA INC, D ," 97,350 ",Master's, D ,
5857,EL RIO SANTA CRUZ NEIGHBORHOOD, D ," 171,250 ",Professional Degree, D ,
8038,VISIONQUEST NATIONAL LTD, D ," 33,757 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2803,KOVACH LLC, D ," 69,000 ",Master's, D ,
6026,CATALINA FOOTHILLS UNIFIED SCH, D ," 44,125 ",Master's, D ,
0445,DIBBLE & ASSO CONSULTING ENGIN, D ," 57,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1620,AZ CONFERENCE CORP OF SEVENTH, D ," 39,065 ",Master's, D ,
1170,ARIZONA PUBLIC SERVICE CO, D ," 117,156 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0543,WESTERN NEW MEXICO UNIVERSITY, D ," 43,875 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
0449,RUIDOSO MUNICIPAL SCHOOL DISTR, D ," 34,027 ",Bachelor's, D ,
4221,R2 TECHNOLOGIES GA LLC, D ," 66,560 ",Bachelor's, D ,
4076,NEW MEXICO HEART INSTITUTE, D ," 320,000 ",Professional Degree, D ,
3705,NAVAJO TECHNICAL UNIV, D ," 47,150 ",Doctorate, D ,
6167,ULTRAMAIN SYSTEMS INCORPORATED, D ," 96,500 ",Master's, D ,
6434,APPLIED RESEARCH ASSOCIATES IN, D ," 65,208 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
5533,LA CLINICA DE FAMILIA INC, D ," 202,500 ",Professional Degree, D ,
7924,SAN JUAN REGIONAL MEDICAL CENT, D ," 313,204 ",Professional Degree, D ,
0556,FORT LEWIS COLLEGE, D ," 51,500 ",Doctorate, D ,
1580,SUNNYVALE SCHOOL DISTRICT, D ," 69,600 ",Master's, D ,
8733,PERR & KNIGHT INC, D ," 83,812 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4439,MILLSTONE MEDICAL OUTSOURCING, D ," 115,000 ",Bachelor's, D ,
6744,SCHELL GAMES LLC, D ," 60,252 ",Master's, D ,
0418,COALFIRE SYSTEMS INC, D ," 130,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2228,DATAMANUSA LLC, D ," 62,500 ",Bachelor's, D ,
5540,SAGENTS INC, D ," 84,750 ",Master's, D ,
0543,TRANSZAP INC, D ," 81,682 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8543,CELESTICA LLC, D ," 97,500 ",Master's, D ,
9438,MILLCREEK ENGINEERING CO, D ," 88,500 ",Master's, D ,
3926,WESTERN GOVERNORS UNIV, D ," 98,750 ",Master's, D ,
8478,CHOI S ACCOUNTING & ACCOUNTING, D , 23 ,Master's, D ,
1420,BURGER REHABILITATION SYSTEMS, D ," 98,270 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1886,NE CO CELLULAR INC D/B/A VIAER, D ," 104,582 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7944,TRANSATLANTIC PETROLEUM USA CO, D ," 185,000 ",Bachelor's, D ,
7169,JIRSA HEDRICK & ASSO INC, D ," 59,422 ",Master's, D ,
3686,RNL FACILITIES CORP DBA RNL DE, D ," 55,567 ",Master's, D ,
9004,FREEPORT MCMORAN SIERRITA INC, D ," 82,029 ",Bachelor's, D ,
6860,IPSCO TUBULARS INC, D ," 445,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5936,SPRING INTL LANGUAGE CENTER, D ," 22,928 ",Master's, D ,
2076,SPECTRA LOGIC CORP, D ," 112,127 ",Bachelor's, D ,
1610,TRANSLOGIC CORP DBA SWISSLOG H, D ," 106,504 ",Master's, D ,
4275,HANGER INC, D ," 97,079 ",Bachelor's, D ,
6841,ADVANCED ENERGY INDUSTRIES INC, D ," 118,500 ",Bachelor's, D ,
6593,SEDGWICK COUNTY MEMORIAL HOSPI, D ," 50,960 ",Bachelor's, D ,
1450,PENTAX OF AMERICA INC, D ," 144,900 ",Bachelor's, D ,
7567,PEAK VISTA CMTY HEALTH CENTERS, D ," 193,960 ",Professional Degree, D ,
2521,SERVICE EMPLOYEES INTERNATIONA, D ," 41,860 ",Master's, D ,
5257,CATHOLIC HEALTH INITIATIVES CO, D ," 224,500 ",Professional Degree, D ,
2510,COLORADO COLLEGE, D ," 70,310 ",Doctorate, D ,
9006,THE ASPEN INSTITUTE, D ," 123,045 ",Master's, D ,
8360,MOLSON COORS BREWING CO, D ," 163,202 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0543,NATRONA COUNTY SCHOOL DIST 1, D ," 50,294 ",Master's, D ,
8801,INCAPSULATE LLC, D ," 130,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2008,SEQUANS COMMUNICATIONS INC, D ," 113,000 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
7087,APPOMATTOX ADVISORY INC, D ," 79,000 ",Master's, D ,
0838,SUBEX INC, D ," 88,172 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
4049,ZAPS TECHNOCRATS INC, D ," 75,000 ",Master's, D ,
6920,ICODIA INC D B A ADDED VALUE, D ," 70,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8685,MIDLAND COMMUNITY HEALTHCARE S, D ," 187,500 ",Professional Degree, D ,
7225,SAC ATTORNEYS LLP, D ," 84,745 ",Master's, D ,
6333,CHESAPEAKE LIGHTHOUSE FOUNDATI, D ," 83,820 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3588,OPTIMUMG LLC, D ," 74,250 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9228,KAYGEN INC, D ," 105,000 ",Master's, D ,
5682,VITAL HUBER INC, D ," 101,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4097,CAMPBELL COUNTY HEALTH, D ," 362,500 ",Professional Degree, D ,
3983,LUMINA NETWORKS INC, D ," 146,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2016,EDU INFOTECH INTERNATIONAL RES, D ," 41,000 ",Master's, D ,
2982,DISCOVER DATA TECHNOLOGIES, D ," 49,264 ",Bachelor's, D ,
2360,L & J NEW TECH CORP, D ," 61,734 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4649,ATELIER TEN USA LLC, D ," 61,418 ",Master's, D ,
0795,PERFUME WORLDWIDE INC, D ," 67,000 ",Master's, D ,
0746,ASPIRE SYSTEMS INC, D ," 62,500 ",Master's, D ,
4492,CPACKET NETWORKS INC, D ," 121,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3423,SENTIENT SCIENCE CORP, D ," 86,500 ",Doctorate, D ,
5153,WAVETRONIX LLC, D ," 91,560 ",Doctorate, D ,
2929,0, D ," 80,000 ",Master's, D ,
9396,MOUNT GRANT GENERAL HOSPITAL, D ," 51,054 ",Bachelor's, D ,
6611,J R SIMPLOT COMPANY, D ," 65,765 ",Master's, D ,
9910,FARM BUREAU MUTUAL INSURANCE C, D ," 57,637 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4861,TEKORION INC, D ," 73,500 ",Master's, D ,
8583,SOAP ENGINEERING LLC, D ," 87,443 ",Master's, D ,
5562,FEAURA INC, D ," 70,543 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1296,MAILGUN TECHNOLOGIES INC, D ," 131,250 ",Master's, D ,
4376,WINDSUN TECHNOLOGIES INC, D ," 76,240 ",Master's, D ,
9081,GEOPHYSICAL RESEARCH EMPLOYMEN, D ," 152,000 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
6149,TURING VIDEO, D ," 135,000 ",Master's, D ,
2349,OFO US LIMITED, D ," 71,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6314,GOVOYAGE INC, D ," 57,500 ",Master's, D ,
5486,TALENTECH CONSULTING LLC, D ," 57,300 ",Master's, D ,
6357,THICKSTAT LLC, D ," 94,000 ",Bachelor's, D ,
6492,HONGKUN USA REAL ESTATE DEV LL, D ," 105,000 ",Master's, D ,
0517,NEUTRON HOLDINGS INC, D ," 73,500 ",Master's, D ,
4294,INNOVATIVE DIGITAL SERVICES IN, D ," 35,000 ",Master's, D ,
2495,INNOGENIX INC, D ," 95,000 ",Master's, D ,
6270,FTC SOLAR INC, D ," 122,500 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
0418,SB INVESTMENT ADVISERS US INC, D ," 195,000 ",Bachelor's, D ,
 , ,   ,   ,Professional Degree, D ,
4190,MOSKOWITZ AND COMPANY INC, D ," 54,000 ",Master's, D ,
1806,PENSANDO SYSTEMS INC, D ," 175,000 ",Bachelor's, D ,
