Blu-Ray/DVD Combo_rp,Blu-Ray/DVD Combo_sp,Blu-Ray_rp,Blu-Ray_sp,DVD_rp,DVD_sp,Essential Art House DVD_rp,Essential Art House DVD_sp,Janus Films DVD_rp,Janus Films DVD_sp,aspect_ratio,color,description,dir_link,duration,lang,title,year
,,,,,,,,,,1.33:1,Black & White,"This tale of treachery put both the Gainsborough melodrama and actor James Mason on the map. The star-to-be plays Lord Rohan, a cruel nobleman who marries the naive and sweet-natured Clarissa (Phyllis Calvert) for the sole purpose of producing an heir; meanwhile, Clarissa’s conniving best friend, Hesther (Margaret Lockwood), plots against her for her own nefarious ends. The Man in Grey, directed by Leslie Arliss, was such a box-office success that Gainsborough used it as a template, launching a cycle of increasingly rococo films.",/shop/browse?director=arliss-leslie,116 minutes,English,The Man in Grey,1955
,,,,,,,,,,1.66:1,Black & White,"Man Is Not a Bird is an antic, free-form portrait of the love lives of two less-than-heroic men who labor in a copper factory. For this first feature, following years of making documentaries and experimental shorts, Dusan Makavejev and his crew set up shop in Bor, a mining town in the mountains near Yugoslavia’s border with Bulgaria, interviewing the workers in the region and even shooting footage inside the local ore factories. Yet the result is hardly a staid tribute to the working class. Also featuring seductive Milena Dravic, who would go on to star in Makavejev’s groundbreaking WR: Mysteries of the Organism, Man Is Not a Bird is one of cinema’s most assured and daring debuts.",/shop/browse?director=makavejev-dusan,78 minutes,Serbo-Croatian,Man Is Not a Bird,1955
,,$39.95,Out Of Print,$39.95,Out Of Print,,,,,2.35:1,Color,"The Man Who Fell to Earth is a daring exploration of science fiction as an art form. The story of an alien on an elaborate rescue mission provides the launching pad for Nicolas Roeg’s visual tour de force, a formally adventurous examination of alienation in contemporary life. Rock legend David Bowie, in his acting debut, completely embodies the title role, while Candy Clark, Buck Henry, and Rip Torn turn in pitch-perfect supporting performances. The film’s hallucinatory vision was obscured in the American theatrical release, which deleted nearly twenty minutes of crucial scenes and details. The Criterion Collection is proud to present Roeg’s full uncut version, in this exclusive new director-approved high-­definition widescreen transfer.",/shop/browse?director=roeg-nicolas,139 minutes,English,The Man Who Fell to Earth,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.33:1,Black & White,"An ordinary British couple vacationing in Switzerland suddenly find themselves embroiled in a case of international intrigue when their daughter is kidnapped by spies plotting a political assassination. This fleet and gripping film is the first of the early thrillers the Master of Suspense, Alfred Hitchcock, made during the fertile phase of his career spent at the Gaumont-British Picture Corporation. Besides affirming Hitchcock’s genius, it gave the brilliant Peter Lorre his first English-speaking role, as a slithery villain. With its tension and gallows humor, it’s pure Hitchcock, and it set the tone for such films as The 39 Steps and The Lady Vanishes.",/shop/browse?director=hitchcock-alfred,75 minutes,English,The Man Who Knew Too Much,1955
,,,,,,,,,,1.37:1,Black & White,"This delightful comedy brought Claude Autant-Lara his first popular success as a director. Chiffon (Odette Joyeux) is being pushed by her mother to wed a dashing military officer (André Luguet) but finds herself drawn to her stepfather’s penniless brother (Jacques Dumesnil). For Le mariage de Chiffon, Autant-Lara convened the creative team—including screenwriter Jean Aurenche, cameraman Philippe Agostini, and the incomparable Joyeux—that would reunite for each of his subsequent three features, initiating a remarkable run of sharp love stories.",/shop/browse?director=autant-lara-claude,103 minutes,French,Le mariage de Chiffon,1955
,,,,,,,,,,1.19:1,Black & White,"Adapting his hit play Marius for the screen two years after its stage premiere, Marcel Pagnol turned his inimitable creative energies to the new medium of sound cinema in a felicitous collaboration with the Hungarian-born director Alexander Korda, soon to leave his mark on British cinema. Young Marius and Fanny begin to recognize that their lifelong friendship has blossomed into romance, but their hopes of marriage are left unrealized when Marius cannot overcome his longing to go to sea, against the wishes of his adoring father, César, but with Fanny’s selfless encouragement. Pagnol and Korda bring a keening lyricism to this tale of lovers torn between devotion and the restless urge for adventure, a conflict that begins to shape their destinies in ways they could never have predicted.",/shop/browse?director=korda-alexander,127 minutes,French,Marius,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,2.35:1,Black & White,"In its native land, František Vláčil’s Marketa Lazarová has been hailed as the greatest Czech film ever made; for many U.S. viewers, it will be a revelation. Based on a novel by Vladislav Vančura, this stirring and poetic depiction of a feud between two rival medieval clans is a fierce, epic, and meticulously designed evocation of the clashes between Christianity and paganism, humankind and nature, love and violence. Vláčil’s approach was to re-create the textures and mentalities of a long-ago way of life, rather than to make a conventional historical drama, and the result is dazzling. With its inventive widescreen cinematography, editing, and sound design, Marketa Lazarová is an experimental action film.",/shop/browse?director=vlacil-frantisek,165 minutes,"Czech,                                          German",Marketa Lazarová,1955
,,,,,,,,,,1.66:1,Color,"Maria (Hanna Schygulla) marries Hermann Braun in the last days of World War II, only for him to go missing in the war. Alone, Maria puts to use her beauty and ambition in order to find prosperity during Germany’s “economic miracle” of the 1950s. Rainer Werner Fassbinder’s biggest international box-office success, The Marriage of Maria Braun is a heartbreaking study of a woman picking herself up from the ruins of her own life, as well as a pointed metaphorical attack on a society determined to forget its past.",/shop/browse?director=fassbinder-rainer-werner,120 minutes,English,The Marriage of Maria Braun,1955
,,,,,,,,,,1.33:1,Color,"Billy and Antoinette Edwards let it all hang out for Allan King and crew in this jaw-dropping examination of a marriage in trouble, which “makes John Cassavetes’s Faces look like early Doris Day” (Time). Intense and hectic, frightening and funny, A Married Couple is ultimately a film about the eternal power struggle in romantic relationships, as well as a document of the moment when entrenched gender roles began to crumble.",/shop/browse?director=king-allan,96 minutes,English,A Married Couple,1955
,,,,$39.95,$31.96,,,,,1.33:1,Black & White,"One of the great artistic forces of the twentieth century, performer, choreographer, and teacher Martha Graham influenced dance worldwide. Criterion presents a sampling of her stunning craft, all collaborations with television arts-programming pioneer Nathan Kroll. A Dancer's World (1957), narrated by Graham herself, is a glimpse into her class work and methodology. Appalachian Spring (1958) and Night Journey (1961) are two complete Graham ballets, the first a celebration of the American pioneer spirit, scored by Aaron Copland, the second a powerfully physical rendering of the Oedipus myth. These are signature Graham works and tributes to the art of the human body.",/shop/browse?director=kroll-nathan,93 minutes,English,Martha Graham: Dance on Film,1955
,,,,$29.95,$23.96,,,,,1.33:1,Black & White,"With Masculin féminin, ruthless stylist and iconoclast Jean-Luc Godard introduces the world to ""the children of Marx and Coca-Cola,"" through a gang of restless youths engaged in hopeless love affairs with music, revolution, and each other. French new wave icon Jean-Pierre Leaud stars as Paul, an idealistic would-be intellectual struggling to forge a relationship with the adorable pop star Madeleine (real-life yé-yé girl Chantal Goya). Through their tempestuous affair, Godard fashions a candid and wildly funny free-form examination of youth culture in throbbing 1960s Paris, mixing satire and tragedy as only Godard can.",/shop/browse?director=godard-jean-luc,110 minutes,French,Masculin féminin,1955
,,,,,,,,,,1.33:1,Black & White,"A pair of blind masseurs, an enigmatic city woman, a lonely man and his ill-behaved nephew—The Masseurs and a Woman is made up of crisscrossing miniature studies of love and family at a remote resort in the mountains. With delicate and surprising humor, Hiroshi Shimizu paints a timeless portrait of loneliness and the human need to connect.",/shop/browse?director=shimizu-hiroshi,76 minutes,Japanese,The Masseurs and a Woman,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,2.35:1,Color,"Twenty years after their brilliant cinema-theater experiment Vanya on 42nd Street, Wallace Shawn and André Gregory reunited to produce another idiosyncratic film version of a classic play, this time Henrik Ibsen’s Bygmester Solness (Master Builder Solness). Brought pristinely to the screen by Jonathan Demme, this compellingly abstract reimagining features Shawn (who also wrote the adaptation) as a visionary but tyrannical middle-aged architect haunted by figures from his past, most acutely an attractive, vivacious young woman (the breathtaking newcomer Lisa Joyce) who has appeared on his doorstep. Also featuring standout supporting performances by Julie Hagerty, Larry Pine, and Gregory, A Master Builder, like Vanya, is the result of many years of rehearsals, a living, breathing, constantly shifting work that unites theater, film, and dream.",/shop/browse?director=demme-jonathan,127 minutes,English,A Master Builder,1955
$39.95,$31.96,,,$39.95,$31.96,,,,,1.33:1,Black & White,"Before he turned to the story of Joan of Arc, the Danish cinema genius Carl Theodor Dreyer fashioned this ahead-of-its-time examination of domestic life. A deft comedy of gentle revenge, it is the story of a housewife who, with the help of a wily nanny, turns the tables on her tyrannical husband. In it, Dreyer combines lightness and humor with his customary meticulous craft and sense of integrity. Master of the House, an enormous box-office success in its day, is a jewel of the silent cinema.",/shop/browse?director=dreyer-carl-th,107 minutes,Danish,Master of the House,1955
,,,,,,,,,,1.85:1,Color,"Kaurismäki took his penchant for despairing character studies to unspeakably grim depths in the shockingly entertaining The Match Factory Girl. Kati Outinen is memorably impenetrable as Iris, whose grinding days as a cog in a factory wheel, and nights as a neglected daughter living with her parents, ultimately send her over the edge. Yet despite her transgressions, Kaurismäki makes Iris a compelling, even sympathetic figure. Bleak yet suffused with comic irony, The Match Factory Girl closes out the “Proletariat Trilogy” with a bang—and a whimper.",/shop/browse?director=kaurismaeki-aki,69 minutes,Finnish,The Match Factory Girl,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.37:1,Color,"After miraculously surviving a jump from his burning plane, RAF pilot Peter Carter (David Niven) encounters the American radio operator (Kim Hunter) to whom he has just delivered his dying wishes, and, face-to-face on a tranquil English beach, the pair fall in love. When a messenger from the hereafter arrives to correct the bureaucratic error that spared his life, Peter must mount a fierce defense for his right to stay on earth—painted by production designer Alfred Junge and cinematographer Jack Cardiff as a rich Technicolor Eden—climbing a wide staircase to stand trial in a starkly beautiful, black-and-white modernist afterlife. Intended to smooth tensions between the wartime allies Britain and America, Michael Powell and Emeric Pressburger’s richly humanistic A Matter of Life and Death traverses time and space to make a case for the transcendent value of love.",/shop/browse?director=powell-and-emeric-pressburger-michael,104 minutes,English,A Matter of Life and Death,1955
,,,,,,$19.95,Out Of Print,,,1.33:1,Black & White,"The gorgeous duo of Charles Boyer and Danielle Darrieux first appeared on-screen together almost twenty years before The Earrings of Madame de . . . , in this sumptuous, tragic romance from Anatole Litvak (The Snake Pit, Anastasia). Mayerling is the profoundly emotional true story of the doomed adulterous affair between Archduke Rudolf, heir to the Austrian throne, and the young and innocent baron’s daughter Marie Vetsera.",/shop/browse?director=litvak-anatole,91 minutes,French,Mayerling,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,2.40:1,Color,"This unorthodox dream western by Robert Altman may be the most radically beautiful film to come out of the New American Cinema. It stars Warren Beatty and Julie Christie as two newcomers to the raw Pacific Northwest mining town of Presbyterian Church, who join forces to provide the miners with a superior kind of whorehouse experience. The appearance of representatives of a powerful mining company with interests of its own, however, threatens to be the undoing of their plans. With its fascinating flawed characters, evocative cinematography by the great Vilmos Zsigmond, innovative overlapping dialogue, and haunting use of Leonard Cohen songs, McCabe & Mrs. Miller brilliantly deglamorized and revitalized the most American of genres.",/shop/browse?director=altman-robert,121 minutes,English,McCabe & Mrs. Miller,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.66:1,Color,"A slow-burning depiction of economic degradation in Thatcher’s England, Mike Leigh’s Meantime is the culmination of the writer-director’s pioneering work in television. Unemployment is rampant in London’s working-class East End, where a middle-aged couple and their two sons languish in a claustrophobic public-housing flat. As the brothers (Phil Daniels and Tim Roth) grow increasingly disaffected, Leigh punctuates the grinding boredom of their daily existence with tense encounters, including with a priggish aunt (Marion Bailey) who has managed to become middle-class and a blithering skinhead on the verge of psychosis (a scene-stealing Gary Oldman, in his first major role). Informed by Leigh’s now trademark improvisational process and propelled by the lurching rhythms of its Beckett-like dialogue, Meantime is an unrelenting, often blisteringly funny look at life on the dole.",/shop/browse?director=leigh-mike,107 minutes,English,Meantime,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Color,"It’s 1968, and the whole world is watching. With the U.S. in social upheaval, famed cinematographer Haskell Wexler decided to make a film about what the hell was going on. Medium Cool, his debut feature, plunges us into the moment. With its mix of fictional storytelling and documentary technique, this depiction of the working world and romantic life of a television cameraman (Robert Forster) is a visceral cinematic snapshot of the era, climaxing with an extended sequence shot right in the middle of the riots surrounding the Democratic National Convention in Chicago. An inventive commentary on the pleasures and dangers of wielding a camera, Medium Cool is as prescient a political film as Hollywood has ever produced.",/shop/browse?director=wexler-haskell,110 minutes,English,Medium Cool,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.66:1,Black & White,"This film by Tomás Gutiérrez Alea is the most renowned work in the history of Cuban cinema. After his wife and family flee in the wake of the Bay of Pigs invasion, the bourgeois intellectual Sergio (Sergio Corrieri) passes his days wandering Havana in idle reflection, his amorous entanglements and political ambivalence gradually giving way to a mounting sense of alienation. With this adaptation of an innovative novel by Edmundo Desnoes, Gutiérrez Alea developed a cinematic style as radical as the times he was chronicling, creating a collage of vivid impressions through the use of experimental editing techniques, archival material, and spontaneously shot street scenes. Intimate and densely layered, Memories of Underdevelopment provides an indictment of its protagonist’s disengagement and an extraordinary glimpse of life in postrevolutionary Cuba.Memories of Underdevelopment was restored by the Cineteca di Bologna at L’Immagine Ritrovata laboratory in association with Instituto Cubano del Arte e Industria Cinematográficos (ICAIC). Restoration funded by the George Lucas Family Foundation and The Film Foundation’s World Cinema Project.",/shop/browse?director=gutierrez-alea-tomas,98 minutes,Spanish,Memories of Underdevelopment,1955
,,,,,,,,,,1.77:1,Color,"Allan King brings us in close to the people who reside and work in a home for geriatric care in this beautifully conceived, powerful documentary. For four months, King follows the daily routines of eight patients suffering from dementia and memory loss; the result is searing, compassionate drama that can bring to the viewer a greater understanding of his or her loved ones.",/shop/browse?director=king-allan,112 minutes,English,"Memory for Max, Claire, Ida and Company",1955
,,,,,,,,,,1.33:1,Black & White,"The fourth film from Akira Kurosawa is based on a legendary twelfth-century incident in which the lord Yoshitsune and a group of samurai retainers dressed as monks in order to pass through a dangerous enemy checkpoint. The story was dramatized for centuries in Noh and kabuki theater, and here it becomes one of the director’s most riveting early films.",/shop/browse?director=kurosawa-akira,59 minutes,Japanese,The Men Who Tread on the Tiger’s Tail,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.37:1,Color,"New German Cinema icon Rainer Werner Fassbinder kicked off a new phase of his young career when he made the startling The Merchant of Four Seasons. In this anguished yet mordantly funny film, Fassbinder charts the decline of a self-destructive former policeman and war veteran struggling to make ends meet for his family by working as a fruit vendor. Fassbinder had gained acclaim for a series of trenchant, quickly made early films, but for this one he took more time and forged a new style—featuring a more complexly woven script and narrative structure and more sophisticated use of the camera, and influenced by the work of his recently discovered idol, Douglas Sirk. The result is a meticulously made, unforgiving social satire.",/shop/browse?director=fassbinder-rainer-werner,88 minutes,German,The Merchant of Four Seasons,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.78:1,Color,"In this captivating, skewed World War II drama from Nagisa Oshima, David Bowie regally embodies Celliers, a British officer interned by the Japanese as a POW. Rock star Ryuichi Sakamoto (who also composed this film’s hypnotic score) plays the camp commander, obsessed with the mysterious blond major, while Tom Conti is the British lieutenant colonel Lawrence, who tries to bridge the emotional and language divides between captor and prisoner. Also featuring actor-director Takeshi Kitano in his first dramatic role, Merry Christmas Mr. Lawrence is a multilayered, brutal, at times erotic tale of culture clash, and one of Oshima’s greatest successes.",/shop/browse?director=oshima-nagisa,123 minutes,"English,                                          Japanese",Merry Christmas Mr. Lawrence,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.66:1,Color,"One of the great American independent films of the 1990s, the surprise hit Metropolitan, by writer-director Whit Stillman, is a sparkling comedic chronicle of a young man’s romantic misadventures while trying to fit in to New York City’s debutante society. Stillman’s deft, literate dialogue and hilariously highbrow observations earned this first film an Academy Award nomination for best original screenplay. Beneath the wit and sophistication, though, lies a tender tale of adolescent anxiety.",/shop/browse?director=stillman-whit,99 minutes,English,Metropolitan,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Color,"One of the British New Wave’s most versatile directors, John Schlesinger came to New York in the late 1960s to make Midnight Cowboy, a picaresque story of friendship that captured a city in crisis and sparked a new era of Hollywood movies. Jon Voight delivers a career-making performance as Joe Buck, a wide-eyed hustler from Texas hoping to score big with wealthy city women; he finds a companion in Enrico “Ratso” Rizzo, an ailing swindler with a bum leg and a quixotic fantasy of escaping to Florida, played by Dustin Hoffman in a radical departure from his breakthrough in The Graduate. A critical and commercial success despite controversy over what the MPAA termed its “homosexual frame of reference,” Midnight Cowboy became the first X-rated film to receive the best picture Oscar, and decades on, its influence still reverberates through cinema.",/shop/browse?director=schlesinger-john,113 minutes,English,Midnight Cowboy,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.33:1,Color,"The legendary Gilbert and Sullivan troupe the D’Oyly Carte Opera Company joined forces with Hollywood for this 1939 Technicolor version of the beloved comic opera The Mikado, the first work by the famed duo to be adapted for the screen. Directed by musician and Oscar-nominated filmmaker Victor Schertzinger, it is a lavish cinematic retelling of the British political satire set in exotic Japan, with such enduringly popular numbers as “A Wand’ring Minstrel I” and “Three Little Maids from School,” and featuring American singer Kenny Baker as well as a host of renowned D’Oyly Carte performers, including Martyn Green and Sydney Granville.",/shop/browse?director=schertzinger-victor,91 minutes,English,The Mikado,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Color,"Elaine May crafted a gangster film like no other in the nocturnal odyssey Mikey and Nicky, capitalizing on the chemistry between frequent collaborators John Cassavetes and Peter Falk by casting them together as small-time mobsters whose lifelong relationship has turned sour. Set over the course of one night, this restless drama finds Nicky (Cassavetes) holed up in a hotel after the boss he stole money from puts a hit out on him. Terrified, he calls on Mikey (Falk), the one person he thinks can save him. Scripted to match the live-wire energy of its stars—alongside supporting players Ned Beatty, Joyce Van Patten, and Carol Grace—and inspired by real-life characters from May’s own childhood, this unbridled portrait of male friendship turned tragic is an unsung masterpiece of American cinema.",/shop/browse?director=may-elaine,106 minutes,English,Mikey and Nicky,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.37:1,Black & White,"Melodrama casts noirish shadows in this portrait of maternal sacrifice from Hollywood master Michael Curtiz. Its iconic performance by Joan Crawford as Mildred, a single mother hell-bent on freeing her children from the stigma of economic hardship, solidified Crawford’s career comeback and gave the actor her only Oscar. But as Mildred pulls herself up by the bootstraps, first as an unflappable waitress and eventually as the well-heeled owner of a successful restaurant chain, the ingratitude of her materialistic firstborn (a diabolical Ann Blyth) becomes a venomous serpent’s tooth, setting in motion an endless cycle of desperate overtures and heartless recriminations. Recasting James M. Cain’s rich psychological novel as a murder mystery, this bitter cocktail of blind parental love and all-American ambition is both unremittingly hard-boiled and sumptuously emotional.",/shop/browse?director=curtiz-michael,111 minutes,English,Mildred Pierce,1955
,,,,$29.95,Out Of Print,,,,,1.66:1,Color,"The first of what Luis Buñuel later proclaimed a trilogy (along with The Discreet Charm of the Bourgeoisie and The Phantom of Liberty) about ""the search for truth,"" The Milky Way (La voie lactee) daringly deconstructs contemporary and traditional views on Catholicism with ribald, rambunctious surreality. Two French beggars, present-day pilgrims en route to Spain's holy city of Santiago de Compostela, serve as Buñuel's narrators for an anticlerical history of heresy, told with absurdity and filled with images that rank among Buñuel's most memorable (stigmatic children, crucified nuns) and hilarious (Jesus considering a good shave). A diabolically entertaining look at the mysteries of fanaticism, The Milky Way remains a hotly debated work from cinema's greatest skeptic.",/shop/browse?director=bunuel-luis,101 minutes,French,The Milky Way,1955
,,,,$29.95,$23.96,,,,,1.33:1,Black & White,"An impoverished artist discovers he has purchased a winning lottery ticket at the very moment his creditors come to collect. The only problem is, the ticket is in the pocket of his coat. . . which he left at his girlfriend’s apartment. . . who gave the coat to a man hiding from the police. . . who sells the coat to an opera singer who uses it during a performance. By turns charming and inventive, René Clair’s lyrical masterpiece had a profound impact on not only the Marx Brothers and Charlie Chaplin, but on the American musical as a whole.",/shop/browse?director=clair-rene,81 minutes,French,Le million,1955
,,$29.95,$23.96,$29.95,$23.96,,,,,1.37:1,Black & White,"Suffused with dread and paranoia, this Fritz Lang adaptation of a novel by Graham Greene is a plunge into the eerie shadows of a world turned upside down by war. En route to London after being released from a mental institution, Stephen Neale (Ray Milland) stops at a seemingly innocent village fair, after which he finds himself caught in the web of a sinister underworld with possible Nazi connections. Lang was among the most illustrious of the European émigré filmmakers working in Hollywood during World War II, and Ministry of Fear is one of his finest American productions, an unpredictable thriller with style to spare.",/shop/browse?director=lang-fritz,87 minutes,English,Ministry of Fear,1955
,,,,,,,,,,1.33:1,Black & White,"Hailed by film critics around the world as the greatest screen adapation of Victor Hugo's mammoth nineteenth-century novel, Raymond Bernard's dazzling, nearly five-hour Les misérables is a breathtaking tour de force, unfolding with the depth and detail of its source. Featuring stunning art direction and cinematography and unforgettable performances by the exquisite Harry Baur (who died tragically during World War II), as Jean Valjean, and the legendary Charles Vanel, as Inspector Javert, Les misérables is one of the triumphs of French filmmaking.",/shop/browse?director=bernard-raymond,279 minutes,French,Les misérables,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Color,"Paul Schrader’s visually stunning, collagelike portrait of the acclaimed Japanese author and playwright Yukio Mishima (played by Ken Ogata) investigates the inner turmoil and contradictions of a man who attempted the impossible task of finding harmony among self, art, and society. Taking place on the last day of Mishima’s life, when he famously committed public seppuku, the film is punctuated by extended flashbacks to the writer’s past as well as gloriously stylized evocations of his fictional works. With its rich cinematography by John Bailey, exquisite sets and costumes by Eiko Ishioka, and unforgettable, highly influential score by Philip Glass, Mishima: A Life in Four Chapters is a tribute to its subject and a bold, investigative work of art in its own right.",/shop/browse?director=schrader-paul,120 minutes,Japanese,Mishima: A Life in Four Chapters,1955
,,,,$39.95,$31.96,,,,,1.85:1,Color,"Missing is political filmmaker extraordinaire Costa-Gavras's compelling, controversial dramatization of the search for American filmmaker and journalist Charles Horman, who mysteriously disappeared during the 1973 coup in Chile. Jack Lemmon and Sissy Spacek give magnetic, emotionally commanding performances as Charles's father and wife, who are led by U.S. embassy and consulate officials through a series of bureaucratic dead-ends before eventually uncovering the terrifying facts about Charles’s fate and disillusioning truths about their government. Written and directed with clarity and conscience, the Academy Award–winning Missing is a testament to Costa-Gavras's daring.",/shop/browse?director=costa-gavras,122 minutes,English,Missing,1955
,,,,$39.95,$31.96,,,,,1.33:1,Black & White,"Swedish filmmaker Alf Sjöberg's visually innovative, Cannes Grand Prix-winning adaptation of August Strindberg's renowned 1888 play brings to scalding life the excoriating words of the stage's preeminent surveyor of all things rotten in the state of male-female relations. Miss Julie vividly depicts the battle of the sexes and classes that ensues when a wealthy businessman's daughter (Anita Björk, in a fiercely emotional performance) falls for her father's bitter servant. Celebrated for its unique cinematic style (and censored upon its first release in the United States for its adult content), Sjöberg's film was an important turning point in Scandinavian cinema.",/shop/browse?director=sjoeberg-alf,90 minutes,Swedish,Miss Julie,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Color,"A decade after he broke through with Breaker Morant, Australian director Bruce Beresford made another acclaimed film about the effects of colonialism on the individual. In a performance that earned him the Berlin Film Festival’s Silver Bear for best actor, Maynard Eziashi plays the title character, a Nigerian villager eager to work as a civil servant for the British authorities, including a sympathetic district officer (Pierce Brosnan), in the hope that it will benefit him in the future. Instead, his ambition leads to his tragic downfall. Mister Johnson, based on the 1939 novel by Joyce Cary, is a graceful, heartfelt drama about the limits of idealism, affectingly acted and handsomely shot.",/shop/browse?director=beresford-bruce,101 minutes,English,Mister Johnson,1955
,,,,,,,,,,1.66:1,Color,"In 1977 France, the Ministry of the Future chooses two ""normal,"" white, middle-class citizens, Claudine (Anémone) and Jean-Michel (André Dussolier), for a national experiment. They will be monitored and displayed on television for six months in a model apartment outfitted with state-of-the-art products and nonstop surveillance—the template for ""a new city for the new man."" A searing satire of the breakdown of individual freedoms in the face of increasing governmental invasions of privacy, William Klein's The Model Couple deftly investigates the fine line between democracy and totalitarianism.",/shop/browse?director=klein-william,101 minutes,French,The Model Couple,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.33:1,Black & White,"Modern Times, Charlie Chaplin’s last outing as the Little Tramp, puts the iconic character to work as a giddily inept factory employee who becomes smitten with a gorgeous gamine (Paulette Goddard). With its barrage of unforgettable gags and sly commentary on class struggle during the Great Depression, Modern Times—though made almost a decade into the talkie era and containing moments of sound (even song!)—is a timeless showcase of Chaplin’s untouchable genius as a director of silent comedy.",/shop/browse?director=chaplin-charles,87 minutes,English,Modern Times,1955
,,$29.95,$23.96,$29.95,$23.96,,,,,2.35:1,Color,"The Moment of Truth (Il momento della verità), from director Francesco Rosi, is a visceral plunge into the life of a famous torero—played by real-life bullfighting legend Miguel Mateo, known as Miguelín. Charting his rise and fall with a single-minded focus on the bloody business at hand, the film is at once gritty and operatic, placing the viewer right in the thick of the ring’s action, as close to death as possible. Like all of the great Italian truth seeker’s films, this is not just an electrifying drama but also a profound and moving inquiry into a violent world—and it’s perhaps the greatest bullfighting movie ever made.",/shop/browse?director=rosi-francesco,107 minutes,Italian,The Moment of Truth,1955
,,,,$39.95,Out Of Print,,,,,1.77:1,Color,"Writer-director Neil Jordan’s breakthrough film is a brilliant, noir-infused love story. Bob Hoskins (who snagged an Oscar nomination for his performance) plays George, a small-time loser employed as a chauffeur to an enigmatic, high-class call girl. His fascination with her leads him on a dangerous quest through the sordid underbelly of London, where love is a weakness to be exploited and betrayed. Criterion is proud to present Mona Lisa in a director-approved special edition.",/shop/browse?director=jordan-neil,104 minutes,English,Mona Lisa,1955
,,,,,,,,,,1.33:1,Color,"Slapstick prevails again when Jacques Tati’s eccentric, old-fashioned hero, Monsieur Hulot, is set loose in Villa Arpel, the geometric, oppressively ultramodern home of his brother-in-law, and in the antiseptic plastic hose factory where he gets a job. The second Hulot movie and Tati’s first color film, Mon oncle is a supremely amusing satire of mechanized living and consumer society that earned the director the Academy Award for best foreign-language film.",/shop/browse?director=tati-jacques,116 minutes,French,Mon oncle,1955
,,,,$39.95,$31.96,,,,,1.66:1,Color,"Claude Jutra's evocative portrait of a boy's coming of age in wintry 1940s rural Quebec has been consistently cited by critics and scholars as the greatest Canadian film of all time. Delicate, naturalistic, and tinged with a striking mix of nostalgia and menace, Mon oncle Antoine follows Benoit, as he first encounters the twin terrors of sex and death, and his fellow villagers, who are living under the thumb of the local asbestos mine owner. Set during one ominous Christmas, Mon oncle Antoine is a holiday film unlike any other, and an authentically detailed illustration of childhood’s twilight.",/shop/browse?director=jutra-claude,104 minutes,French,Mon oncle Antoine,1955
,,,,,,,,,,1.37:1,Black & White,"Monsieur Hulot, Jacques Tati’s endearing clown, takes a holiday at a seaside resort, where his presence provokes one catastrophe after another. Tati’s masterpiece of gentle slapstick is a series of effortlessly well-choreographed sight gags involving dogs, boats, and firecrackers; it was the first entry in the Hulot series and the film that launched its maker to international stardom.",/shop/browse?director=tati-jacques,87 minutes,French,Monsieur Hulot’s Holiday,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.33:1,Black & White,"Charlie Chaplin plays shockingly against type in his most controversial film, a brilliant and bleak black comedy about money, marriage, and murder. Chaplin is a twentieth-century bluebeard, an enigmatic family man who goes to extreme lengths to support his wife and child, attempting to bump off a series of wealthy widows (including one played by the indefatigable Martha Raye, in a hilarious performance). This deeply philosophical and wildly entertaining film is a work of true sophistication, both for the moral questions it dares to ask and for the way it deconstructs its megastar’s lovable on-screen persona.",/shop/browse?director=chaplin-charles,124 minutes,English,Monsieur Verdoux,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Color,"Cultures and families clash in Mira Nair’s exuberant Monsoon Wedding, a mix of comedy and chaotic melodrama concerning the preparations for the arranged marriage of a modern upper-middle-class Indian family’s only daughter, Aditi. Of course there are hitches—Aditi has been having an affair with a married TV host; she’s never met her husband to be, who lives in Houston; the wedding has worsened her father’s hidden financial troubles; even the wedding planner has become a nervous wreck—as well as buried family secrets. But Nair’s celebration is ultimately joyful and cathartic: a love song to her home city of Delhi and her own Punjabi family.",/shop/browse?director=nair-mira,114 minutes,"Hindi,                                          Punjabi,                                          English",Monsoon Wedding ,1955
